Month ,Starting Subscribers,New Subscribers,Churned Subsribers,Ending Subscribers,Revenue,Variable Costs,Fixed Costs,Total Costs,Profit 
2025-01-01,50000,2500,2500,50000,649500,62500,500000,562500,87000
2025-02-01,50000,2500,2500,50000,399500,62500,500000,562500,-163000
2025-03-01,50000,2500,2500,50000,399500,62500,500000,562500,-163000
2025-04-01,50000,2500,2500,50000,399500,62500,500000,562500,-163000
2025-05-01,50000,2500,2500,50000,399500,62500,500000,562500,-163000
2025-06-01,50000,2500,2500,50000,399500,62500,500000,562500,-163000
2025-07-01,50000,2500,2500,50000,399500,62500,500000,562500,-163000
2025-08-01,50000,2500,2500,50000,399500,62500,500000,562500,-163000
2025-09-01,50000,2500,2500,50000,399500,62500,500000,562500,-163000
2025-10-01,50000,2500,2500,50000,399500,62500,500000,562500,-163000
2025-11-01,50000,2500,2500,50000,399500,62500,500000,562500,-163000
2025-12-01,50000,2500,2500,50000,399500,62500,500000,562500,-163000
